true_label,pred_label,confidence
Train,Subway,0.5559958815574646
Bus,Car & taxi,0.8675499558448792
Bus,Walk,0.9706743955612183
Walk,Bike,0.7455642223358154
Car & taxi,Bike,0.5534499883651733
Train,Subway,0.39444294571876526
Car & taxi,Bus,0.6265783309936523
Car & taxi,Bus,0.625354528427124
Walk,Bike,0.7006241083145142
Walk,Bus,0.537365198135376
Subway,Walk,0.774871826171875
Bike,Walk,0.763934850692749
Bike,Walk,0.9269119501113892
Car & taxi,Bus,0.49750277400016785
Bike,Walk,0.4193158447742462
Bus,Walk,0.34459882974624634
Train,Subway,0.45774468779563904
Car & taxi,Bus,0.8879231810569763
Bus,Walk,0.8843124508857727
Car & taxi,Bus,0.8053895235061646
Subway,Bus,0.7972696423530579
Walk,Bike,0.48690569400787354
Bus,Bike,0.3190973699092865
Car & taxi,Bike,0.8009483814239502
Bike,Walk,0.3416278064250946
Car & taxi,Bus,0.33977460861206055
Train,Walk,0.35064366459846497
Car & taxi,Walk,0.7509539723396301
Subway,Walk,0.8018866181373596
Train,Subway,0.40924376249313354
Bike,Walk,0.6611722111701965
Bike,Bus,0.822472870349884
Car & taxi,Bus,0.6321686506271362
Bus,Walk,0.39164412021636963
Bus,Bike,0.5719714760780334
Bus,Walk,0.5821607708930969
Bike,Bus,0.5135570764541626
Train,Walk,0.7251565456390381
Car & taxi,Bus,0.6529231071472168
Bike,Subway,0.3421853482723236
Car & taxi,Walk,0.7737756371498108
Bus,Walk,0.7182194590568542
Bike,Walk,0.9713703989982605
Train,Walk,0.7447487115859985
Bus,Car & taxi,0.5726994872093201
Bike,Bus,0.8958537578582764
Bike,Walk,0.8651813268661499
Bus,Walk,0.9801799058914185
Bus,Bike,0.5089729428291321
Car & taxi,Bus,0.7780001163482666
Train,Subway,0.4542566239833832
Train,Walk,0.8970791697502136
Train,Walk,0.4570154547691345
Walk,Bike,0.5945391654968262
Walk,Bike,0.63271164894104
Walk,Bike,0.6219928860664368
Bike,Walk,0.8178830742835999
Bike,Walk,0.957121729850769
Car & taxi,Subway,0.4237501621246338
Car & taxi,Bus,0.431552529335022
Car & taxi,Bus,0.4179118871688843
Bus,Car & taxi,0.8353790044784546
Car & taxi,Bus,0.791568398475647
Bike,Walk,0.37224677205085754
Bike,Walk,0.6223137974739075
Bus,Bike,0.73952716588974
Subway,Walk,0.8440873622894287
Bus,Car & taxi,0.4687088429927826
Train,Subway,0.6134013533592224
Car & taxi,Bike,0.42172637581825256
Walk,Bike,0.5319109559059143
Subway,Bus,0.4354712963104248
Walk,Subway,0.5031872391700745
Bus,Walk,0.32880863547325134
Walk,Bike,0.6406689286231995
Car & taxi,Bus,0.2973123788833618
Car & taxi,Bike,0.6251258850097656
Car & taxi,Bus,0.5230526328086853
Bus,Car & taxi,0.8381009101867676
Walk,Subway,0.7138044238090515
Subway,Car & taxi,0.4890294671058655
Bike,Walk,0.6223137974739075
Bike,Walk,0.8986265659332275
